,missing_entry_count
d_spell,281
f_spell,284
champion,310
side,249
assists,285
damage_objectives,284
damage_building,267
damage_turrets,299
deaths,266
kda,288
kills,269
level,271
time_cc,264
damage_taken,263
turret_kills,283
vision_score,291
damage_total,0
gold_earned,0
role,0
minions_killed,0
