,missing_entry_count
d_spell,288
f_spell,294
champion,251
side,264
assists,308
damage_objectives,294
damage_building,264
damage_turrets,272
deaths,292
kda,282
kills,277
level,269
time_cc,297
damage_taken,298
turret_kills,263
vision_score,280
damage_total,0
gold_earned,0
role,0
minions_killed,0
